"","fips","averageDispensing","averageDeaths","state","county","region","Population","quadrant","classification","lat","lng"
"1",1001,145.228571428571,9.68556375,"Alabama","Autauga County, AL","Southeast",56145,"moreLess","Medium Metro",32.5349,-86.6427
"2",1003,141.914285714286,17.3783775,"Alabama","Baldwin County, AL","Southeast",229287,"moreMore","Medium Metro",30.7276,-87.7226
"3",1005,90.5142857142857,5.41166625,"Alabama","Barbour County, AL","Southeast",24589,"moreLess","Micropolitan",31.8696,-85.3932
"4",1007,92.2,20.2309625,"Alabama","Bibb County, AL","Southeast",22136,"moreMore","Noncore",32.9986,-87.1265
"5",1009,55.8285714285714,21.29674875,"Alabama","Blount County, AL","Southeast",57879,"lessMore","Medium Metro",33.9809,-86.5674
"6",1011,42.1857142857143,7.72754375,"Alabama","Bullock County, AL","Southeast",9976,"lessLess","Noncore",32.1005,-85.7157
"7",1013,120.714285714286,9.57605,"Alabama","Butler County, AL","Southeast",19504,"moreLess","Noncore",31.7524,-86.6803
"8",1015,176.314285714286,17.01308875,"Alabama","Calhoun County, AL","Southeast",113469,"moreMore","Small Metro",33.7714,-85.826
"9",1017,143.6,11.6024975,"Alabama","Chambers County, AL","Southeast",32865,"moreLess","Noncore",32.9143,-85.392
"10",1019,151.528571428571,17.77378875,"Alabama","Cherokee County, AL","Southeast",26294,"moreMore","Noncore",34.1759,-85.6038
"11",1021,116.957142857143,17.53582125,"Alabama","Chilton County, AL","Southeast",44397,"moreMore","Noncore",32.8479,-86.7188
"12",1023,101.871428571429,7.2688025,"Alabama","Choctaw County, AL","Southeast",12418,"moreLess","Noncore",32.0198,-88.2632
"13",1025,150.785714285714,8.66000625,"Alabama","Clarke County, AL","Southeast",23291,"moreLess","Noncore",31.6767,-87.8308
"14",1027,128.585714285714,10.48882875,"Alabama","Clay County, AL","Southeast",13112,"moreLess","Noncore",33.269,-85.8605
"15",1029,25.1857142857143,14.4952675,"Alabama","Cleburne County, AL","Southeast",14967,"lessLess","Noncore",33.6745,-85.5188
"16",1031,133.871428571429,8.6005375,"Alabama","Coffee County, AL","Southeast",53230,"moreLess","Micropolitan",31.4027,-85.9882
"17",1033,210.942857142857,9.2478275,"Alabama","Colbert County, AL","Southeast",55411,"moreLess","Small Metro",34.7005,-87.8049
"18",1035,171.228571428571,15.87192125,"Alabama","Conecuh County, AL","Southeast",11851,"moreMore","Noncore",31.4292,-86.9937
"19",1037,44.3857142857143,12.0166175,"Alabama","Coosa County, AL","Southeast",10650,"lessLess","Noncore",32.9362,-86.2477
"20",1039,194.757142857143,10.45773125,"Alabama","Covington County, AL","Southeast",36930,"moreLess","Noncore",31.2485,-86.4513
"21",1041,108.857142857143,8.5416375,"Alabama","Crenshaw County, AL","Southeast",13681,"moreLess","Noncore",31.7315,-86.3136
"22",1043,167.414285714286,20.27004,"Alabama","Cullman County, AL","Southeast",84515,"moreMore","Micropolitan",34.1319,-86.8676
"23",1045,70.1571428571429,10.24441375,"Alabama","Dale County, AL","Southeast",48959,"lessLess","Small Metro",31.4318,-85.611
"24",1047,104.928571428571,6.56048875,"Alabama","Dallas County, AL","Southeast",36098,"moreLess","Micropolitan",32.326,-87.1065
"25",1049,73.3142857142857,23.65064,"Alabama","DeKalb County, AL","Southeast",71658,"lessMore","Micropolitan",34.4598,-85.8041
"26",1051,109.271428571429,8.97248125,"Alabama","Elmore County, AL","Southeast",82158,"moreLess","Medium Metro",32.5966,-86.1492
"27",1053,132.042857142857,30.0216425,"Alabama","Escambia County, AL","Southeast",36281,"moreMore","Noncore",31.1261,-87.1616
"28",1055,153.857142857143,21.030975,"Alabama","Etowah County, AL","Southeast",102371,"moreMore","Small Metro",34.0453,-86.0348
"29",1057,62.4142857142857,19.01916,"Alabama","Fayette County, AL","Southeast",16241,"lessMore","Noncore",33.7212,-87.7388
"30",1059,188.1,17.33313875,"Alabama","Franklin County, AL","Southeast",31507,"moreMore","Noncore",34.4417,-87.8437
"31",1061,29.6142857142857,12.54152,"Alabama","Geneva County, AL","Southeast",26411,"lessLess","Noncore",31.095,-85.8391
"32",1063,44.0285714285714,5.9373375,"Alabama","Greene County, AL","Southeast",7990,"lessLess","Noncore",32.8531,-87.9522
"33",1065,77.8857142857143,6.89433875,"Alabama","Hale County, AL","Southeast",14670,"lessLess","Noncore",32.7627,-87.6291
"34",1067,38.2,7.85199625,"Alabama","Henry County, AL","Southeast",17223,"lessLess","Noncore",31.5147,-85.2414
"35",1069,178.928571428571,13.210665,"Alabama","Houston County, AL","Southeast",106580,"moreLess","Small Metro",31.1532,-85.3025
"36",1071,122.142857142857,11.25491,"Alabama","Jackson County, AL","Southeast",51582,"moreLess","Micropolitan",34.7795,-85.9994
