"","fips","averageDispensing","averageDeaths","state","county","region","Population","quadrant","classification"
"1","1001",145.228571428571,9.68556375,"Alabama","Autauga County, AL","Southeast",56145,"moreLess","Medium Metro"
"2","1003",141.914285714286,17.3783775,"Alabama","Baldwin County, AL","Southeast",229287,"moreMore","Medium Metro"
"3","1005",90.5142857142857,5.41166625,"Alabama","Barbour County, AL","Southeast",24589,"moreLess","Micropolitan"
"4","1007",92.2,20.2309625,"Alabama","Bibb County, AL","Southeast",22136,"moreMore","Noncore"
"5","1009",55.8285714285714,21.29674875,"Alabama","Blount County, AL","Southeast",57879,"lessMore","Medium Metro"
"6","1011",42.1857142857143,7.72754375,"Alabama","Bullock County, AL","Southeast",9976,"lessLess","Noncore"
"7","1013",120.714285714286,9.57605,"Alabama","Butler County, AL","Southeast",19504,"moreLess","Noncore"
"8","1015",176.314285714286,17.01308875,"Alabama","Calhoun County, AL","Southeast",113469,"moreMore","Small Metro"
"9","1017",143.6,11.6024975,"Alabama","Chambers County, AL","Southeast",32865,"moreLess","Noncore"
"10","1019",151.528571428571,17.77378875,"Alabama","Cherokee County, AL","Southeast",26294,"moreMore","Noncore"
"11","1021",116.957142857143,17.53582125,"Alabama","Chilton County, AL","Southeast",44397,"moreMore","Noncore"
"12","1023",101.871428571429,7.2688025,"Alabama","Choctaw County, AL","Southeast",12418,"moreLess","Noncore"
"13","1025",150.785714285714,8.66000625,"Alabama","Clarke County, AL","Southeast",23291,"moreLess","Noncore"
"14","1027",128.585714285714,10.48882875,"Alabama","Clay County, AL","Southeast",13112,"moreLess","Noncore"
"15","1029",25.1857142857143,14.4952675,"Alabama","Cleburne County, AL","Southeast",14967,"lessLess","Noncore"
"16","1031",133.871428571429,8.6005375,"Alabama","Coffee County, AL","Southeast",53230,"moreLess","Micropolitan"
"17","1033",210.942857142857,9.2478275,"Alabama","Colbert County, AL","Southeast",55411,"moreLess","Small Metro"
"18","1035",171.228571428571,15.87192125,"Alabama","Conecuh County, AL","Southeast",11851,"moreMore","Noncore"
"19","1037",44.3857142857143,12.0166175,"Alabama","Coosa County, AL","Southeast",10650,"lessLess","Noncore"
"20","1039",194.757142857143,10.45773125,"Alabama","Covington County, AL","Southeast",36930,"moreLess","Noncore"
