name,season,gender,age,race,hometown,uk_region,profession,day_entered,day_left,days_in_villa,percent_time,couples_num,outcome,still_together,insta_followers
Jess Hayes,1,female,22,white,"Gloucester, England",Southwest,Model,1,40,40,100.00%,4,winner,FALSE,366000
Max Morley,1,male,22,white,"Yorkshire, England",Yorkshire and the Humber,Professional sports,14,40,27,67.50%,1,winner,FALSE,210000
Hannah Elizabeth,1,female,25,white,"Liverpool, England",Northwest,Model,1,40,40,100.00%,1,second,FALSE,418000
Jon Clark,1,male,25,white,"Sawbridgeworth, England",East of England,Tradesperson,1,40,40,100.00%,1,second,FALSE,445000
Lauren Richardson,1,female,26,white,"Walthamstow, England",London,Nonprofit,2,40,39,97.50%,3,third,FALSE,81200
Josh Ritchie,1,male,20,white,"Bolton, England",Northwest,Tradesperson,1,40,40,100.00%,3,third,FALSE,779000
Cally Jane Beech,1,female,23,white,"Hull, England",Yorkshire and the Humber,Medical field,21,40,20,50.00%,1,fourth,FALSE,553000
Luis Morrison,1,male,20,multiracial,"Crystal Palace, England",London,Professional sports,1,40,40,100.00%,4,fourth,FALSE,331000
Zoe Brown,1,female,24,white,"Bexley, England",London,Model,1,35,35,87.50%,3,dumped,FALSE,0
Jordan Ring,1,male,31,white,"Gloucester, England",Southwest,Tradesperson,1,35,35,87.50%,3,dumped,FALSE,89500
Ben Porter,1,male,24,white,"Wakefield, England",Yorkshire and the Humber,Sales,32,33,1,2.50%,0,dumped,FALSE,2500
Poppy Farnan,1,female,22,white,"Cheshire, England",Northwest,Sales,32,33,1,2.50%,0,dumped,FALSE,9500
Naomi Ball,1,female,23,white,"Essex, England",East of England,Sales,7,28,21,52.50%,1,dumped,FALSE,82000
Travis Almond,1,male,22,white,"Harlow, England",East of England,Entertainer,21,28,7,17.50%,0,dumped,FALSE,600
Omar Sultani,1,male,22,arab,"Leamington Spa, England",West Midlands,Real Estate,1,21,20,50.00%,2,dumped,FALSE,45800
Bethany Rogers,1,female,19,white,"Leeds, England",Yorkshire and the Humber,Entertainer,14,21,7,17.50%,0,dumped,FALSE,220
Daisy Muller,1,female,24,white,"Birmingham, England",West Midlands,Model,7,19,12,30.00%,1,dumped,FALSE,39300
Chris Williamson,1,male,27,white,"Newcastle, England",Northeast,Model,1,18,17,42.50%,3,dumped,FALSE,191000
Chris Baxter,1,male,20,white,"Chelsea, England",London,Fitness,11,18,7,17.50%,1,dumped,FALSE,27900
Danielle Pyne,1,female,23,white,"London, England",London,Corporate,1,14,13,32.50%,3,dumped,FALSE,13700
Rachel Christie,1,female,26,black,"London, England",London,Model,1,11,10,25.00%,1,dumped,FALSE,0
John Alberti,1,male,29,white,"Manchester, England",Northwest,Real Estate,3,6,2,5.00%,0,dumped,FALSE,331500
Tony Alberti,1,male,29,white,"Manchester, England",Northwest,Real Estate,3,6,2,5.00%,0,dumped,FALSE,332200
Cara De La Hoyde,2,female,26,white,"Kent, England",Southeast,Entertainer,1,45,45,100.00%,1,winner,TRUE,1100000
Emma Jane Woodham,2,female,19,white,"Oxford, England",Southeast,Student,27,41,14,31.11%,1,dumped,FALSE,319000
Kady McDermott,2,female,20,white,"Stevenage, England",East of England,Cosmetologist,3,45,42,93.33%,1,third,FALSE,1200000
Nathan Massey,2,male,25,white,"Essex, England",East of England,Tradesperson,1,45,45,100.00%,1,winner,TRUE,792000
Alex Bowen,2,male,24,white,"Birmingham, England",West Midlands,Tradesperson,18,45,27,60.00%,1,second,TRUE,1600000
Olivia Buckland,2,female,22,white,"Essex, England",East of England,Corporate,1,45,45,100.00%,4,second,TRUE,3000000
Scott Thomas,2,male,28,multiracial,"Manchester, England",Northwest,Events,1,45,45,100.00%,2,third,FALSE,996000
Adam Maxted,2,male,24,white,"Belfast, Ireland",Northern Ireland,Fitness,11,45,34,75.56%,5,fourth,FALSE,160000
Katie Salmon,2,female,20,white,"Liverpool, England",Northwest,Model,34,45,11,24.44%,2,fourth,FALSE,265000
Terry Walsh,2,male,28,white,"Surrey, England",Southeast,Tradesperson,3,41,38,84.44%,2,dumped,FALSE,0
Adam Jukes,2,male,23,white,"Manchester, England",Northwest,Corporate,34,41,11,24.44%,1,dumped,FALSE,29200
Lauren Whiteside,2,female,25,white,"Blackpool, England",Northwest,Events,37,41,4,8.89%,1,dumped,FALSE,11500
Tina Stinnes,2,female,21,white,"London, England",London,Student,20,40,20,44.44%,2,dumped,FALSE,202000
Sophie Gradon,2,female,30,white,"Kent, England",Southeast,Entertainer,1,39,39,86.67%,2,walked,FALSE,357000
Troy Frith,2,male,23,multiracial,"Kent, England",Southeast,Sales,30,37,7,15.56%,1,dumped,FALSE,0
Tom Powell,2,male,24,white,"Port Talbot, Wales",Wales,Fitness,1,33,33,73.33%,1,dumped,FALSE,231000
Liana Isadora Van Riel,2,female,20,white,"Exeter, England",Southwest,Entertainer,20,33,13,28.89%,1,dumped,FALSE,790
Oliver Maxwell Fernandez,2,male,25,white,"Hertfordshire, England",East of England,Model,30,31,1,2.22%,0,dumped,FALSE,7600
Malin Andersson,2,female,23,south asian,"Bedfordshire, England",East of England,Cosmetologist,1,25,25,55.56%,2,dumped,FALSE,730000
Zara Holland,2,female,20,white,"Hull, England",Yorkshire and the Humber,Model,1,22,22,48.89%,3,walked,FALSE,261000
James Khan,2,male,20,white,"Teddington, England",London,Media,18,20,2,4.44%,0,dumped,FALSE,151000
Rykard Jenkins,2,male,25,black,"Kent, England",Southeast,Fitness,1,15,15,33.33%,3,walked,FALSE,311000
Daniel Lukakis,2,male,23,white,"London, England",London,Model,1,15,15,33.33%,2,dumped,FALSE,44300
Rachel Fenton,2,female,23,white,"Hampshire, England",Southeast,Medical field,7,15,8,17.78%,1,dumped,FALSE,259000
Malia Arkian,2,female,26,multiracial,"Wilmslow, England",Northwest,Entertainer,7,7,0,0.00%,0,removed,FALSE,13600
Javi Shephard,2,male,27,white,"York, England",Yorkshire and the Humber,Tradesperson,1,6,6,13.33%,0,dumped,FALSE,37600
Amber Davies,3,female,20,white,"North Wales, Wales",Wales,Entertainer,1,52,52,100.00%,4,winner,FALSE,1400000
Kem Cetinay,3,male,21,white,"Essex, England",East of England,Cosmetologist,1,52,52,100.00%,4,winner,FALSE,2700000
Camilla Thurlow,3,female,27,white,"Dumfries, Scotland",Scotland,Nonprofit,1,52,52,100.00%,4,second,TRUE,1500000
Jamie Jewett,3,male,27,white,"Essex, England",East of England,Model,32,52,20,38.46%,1,second,TRUE,806000
Chris Hughes,3,male,24,white,"Cheltenham, England",Southwest,Model,4,52,48,92.31%,2,third,FALSE,2200000
Olivia Attwood,3,female,26,white,"Surrey, England",Southeast,Model,1,52,52,100.00%,4,third,FALSE,1900000
Gabby Allen,3,female,25,white,"Liverpool, England",Northwest,Entertainer,7,52,45,86.54%,1,fourth,FALSE,1100000
Marcel Somerville,3,male,31,black,"London, England",London,Entertainer,1,52,52,100.00%,3,fourth,FALSE,610000
Alex Beattie,3,male,22,white,"Newcastle, England",Northeast,Fitness,26,50,24,46.15%,1,dumped,FALSE,650000
Montana Brown,3,female,21,multiracial,"Hertfordshire, England",East of England,Student,1,50,50,96.15%,5,dumped,FALSE,1200000
Georgia Harrison,3,female,22,white,"Essex, England",East of England,Corporate,34,46,12,23.08%,2,dumped,FALSE,1100000
Sam Gowland,3,male,21,white,"Middlesborough, England",Northeast,Tradesperson,1,23,31,59.62%,5,dumped,FALSE,1100000
Mike Thalassitis,3,male,24,white,"North London, England",London,Professional sports,12,17,11,21.15%,2,dumped,FALSE,495000
Tyla Carr,3,female,29,white,"Surrey, England",Southeast,Model,19,44,25,48.08%,4,dumped,FALSE,342000
Theo Campbell,3,male,25,black,"Bath, England",Southwest,Professional sports,32,41,9,17.31%,1,dumped,FALSE,314000
Jonny Mitchell,3,male,26,white,"Essex, England",East of England,Corporate,4,38,34,65.38%,3,dumped,FALSE,473000
Craig Lawson,3,male,27,white,"London, England",London,Fitness,26,31,5,9.62%,1,dumped,FALSE,0
Nathan Joseph,3,male,25,black,"Essex, England",East of England,Sales,26,31,5,9.62%,1,dumped,FALSE,32300
Danielle Sellers,3,female,22,white,"Hastings, England",Southeast,Model,26,31,5,9.62%,1,dumped,FALSE,165000
Chyna Ellis,3,female,22,white,"Essex, England",East of England,Fashion,26,31,5,9.62%,1,dumped,FALSE,239000
Dom Lever,3,male,26,white,"Manchester, England",Northwest,Corporate,1,28,28,53.85%,3,dumped,TRUE,688000
Simon Searles,3,male,28,black,"Leeds, England",Yorkshire and the Humber,Cosmetologist,19,25,6,11.54%,2,dumped,FALSE,98900
Chloë Crowhurst,3,female,22,white,"Essex, England",East of England,Corporate,1,23,23,44.23%,3,dumped,FALSE,280000
Jessica Shears,3,female,23,white,"Devon, England",Southwest,Model,1,17,17,32.69%,1,dumped,TRUE,1100000
Tyne-Lexy Clarson,3,female,20,white,"Birmingham, England",West Midlands,Student,7,14,7,13.46%,0,dumped,FALSE,412000
